;;2017 г., 11332000200250200001 Начисленные доходы (дивиденды и проценты) по ценным бумагам других эмитентов с 2017 г.;
Ценные бумаги;1;;
Органы государственного управления;1;;
РОССИЙСКАЯ СОБСТВЕННОСТЬ;10;;
Всего по обследуемым видам экономической деятельности;101.АГ;;
Российская Федерация;643;18805,70;
Центральный федеральный округ;030;17167,40;
Белгородская область;14000000000;0;
Воронежская область;20000000000;0;
Ивановская область;24000000000;0;
Калужская область;29000000000;0;
Костромская область;34000000000;0;
Курская область;38000000000;0;
Липецкая область;42000000000;29,10;
Московская область;46000000000;13,80;
Рязанская область;61000000000;0;
Смоленская область;66000000000;0;
Тамбовская область;68000000000;0;
Ярославская область;78000000000;0;
Город Москва столица Российской Федерации город федерального значения;45000000000;17124,50;
Северо-Западный федеральный округ;031;57,40;
Республика Коми;87000000000;0;
Архангельская область;11000000000;0;
Архангельская область (кроме Ненецкого автономного округа);11001000000;0;
Калининградская область;27000000000;1,90;
Ленинградская область;41000000000;0;
Мурманская область;47000000000;0;
Новгородская область;49000000000;0;
Псковская область;58000000000;0;
Город Санкт-Петербург город федерального значения;40000000000;55,50;
Южный федеральный округ (с 29.07.2016);040;431,40;
Республика Адыгея (Адыгея);79000000000;0;
Республика Крым;35000000000;0;
Краснодарский край;03000000000;431,40;
Волгоградская область;18000000000;0;
Ростовская область;60000000000;0;
Северо-Кавказский федеральный округ;038;0;
Республика Дагестан;82000000000;0;
Республика Ингушетия*;26000000000;0;
Кабардино-Балкарская Республика;83000000000;0;
Карачаево-Черкесская Республика;91000000000;0;
Республика Северная Осетия-Алания;90000000000;0;
Ставропольский край;07000000000;0;
Приволжский федеральный округ;033;210,50;
Республика Башкортостан;80000000000;0;
Республика Марий Эл;88000000000;0;
Республика Татарстан (Татарстан);92000000000;205,50;
Удмуртская Республика;94000000000;0;
Пермский край;57000000000;3,30;
Кировская область;33000000000;0;
Нижегородская область;22000000000;0;
Оренбургская область;53000000000;0;
Самарская область;36000000000;1,70;
Саратовская область;63000000000;0;
Уральский федеральный округ;034;721,50;
Курганская область;37000000000;0;
Свердловская область;65000000000;0;
Тюменская область;71000000000;720,50;
Ханты-Мансийский автономный округ - Югра (Тюменская область);71100000000;695,20;
Ямало-Ненецкий автономный округ (Тюменская область);71140000000;25,20;
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);71001000000;0;
Челябинская область;75000000000;1;
Сибирский федеральный округ;035;18,30;
Республика Бурятия;81000000000;0;
Республика Тыва;93000000000;0;
Республика Хакасия;95000000000;0;
Алтайский край;01000000000;0;
Забайкальский край;76000000000;0;
Красноярский край;04000000000;8;
Иркутская область;25000000000;0,30;
Кемеровская область - Кузбасс;32000000000;0;
Новосибирская область;50000000000;10;
Омская область;52000000000;0;
Томская область;69000000000;0;
Дальневосточный федеральный округ;036;199,30;
Республика Саха (Якутия);98000000000;193,10;
Камчатский край;30000000000;0;
Приморский край;05000000000;0;
Хабаровский край;08000000000;6,20;
Амурская область;10000000000;0;
Сахалинская область;64000000000;0;
;;;
